iter	Passed	Remaining
0	132	132273
1	133	66539
2	134	44608
3	135	33638
4	135	27062
5	138	22879
6	139	19793
7	140	17434
8	141	15579
9	142	14098
10	143	12907
11	144	11895
12	146	11151
13	148	10436
14	149	9807
15	150	9235
16	151	8751
17	152	8308
18	153	7919
19	154	7559
20	155	7229
21	155	6928
22	156	6653
23	157	6400
24	158	6168
25	158	5951
26	159	5752
27	160	5568
28	161	5397
29	162	5238
30	162	5090
31	163	4950
32	164	4818
33	166	4730
34	167	4612
35	168	4502
36	168	4397
37	169	4297
38	170	4203
39	171	4111
40	172	4025
41	173	3946
42	173	3868
43	174	3792
44	175	3720
45	176	3654
46	177	3589
47	177	3524
48	178	3465
49	179	3407
50	180	3352
51	181	3300
52	181	3250
53	182	3200
54	183	3152
55	184	3106
56	185	3062
57	185	3018
58	187	2997
59	188	2957
60	189	2918
61	190	2880
62	191	2843
63	191	2807
64	192	2772
65	193	2738
66	194	2705
67	195	2672
68	195	2641
69	196	2612
70	197	2583
71	198	2557
72	199	2531
73	200	2504
74	200	2477
75	202	2457
76	202	2432
77	203	2408
78	204	2383
79	205	2359
80	205	2337
81	206	2314
82	207	2288
83	207	2267
84	208	2247
85	209	2228
86	210	2210
87	211	2192
88	212	2173
89	213	2154
90	213	2136
91	214	2118
92	215	2102
93	217	2098
94	218	2082
95	219	2065
96	220	2049
97	220	2033
98	221	2017
99	222	2001
100	223	1986
101	223	1971
102	224	1957
103	225	1944
104	226	1932
105	227	1919
106	228	1906
107	229	1895
108	230	1882
109	231	1873
110	232	1861
111	233	1849
112	234	1837
113	234	1824
114	235	1812
115	236	1800
116	236	1788
117	237	1776
118	238	1765
119	239	1754
120	239	1743
121	240	1731
122	241	1721
123	242	1711
124	243	1701
125	243	1691
126	244	1681
127	245	1671
128	247	1669
129	248	1660
130	248	1651
131	249	1641
132	250	1633
133	251	1624
134	252	1616
135	252	1607
136	253	1598
137	254	1589
138	255	1581
139	256	1573
140	256	1564
141	257	1555
142	258	1547
143	259	1539
144	259	1532
145	261	1528
146	262	1522
147	263	1515
148	264	1508
149	264	1500
150	265	1493
151	266	1486
152	267	1479
153	268	1472
154	268	1465
155	269	1459
156	270	1452
157	271	1446
158	272	1439
159	273	1433
160	273	1425
161	274	1419
162	275	1413
163	276	1408
164	277	1402
165	277	1395
166	278	1389
167	279	1383
168	280	1378
169	281	1372
170	281	1366
171	282	1360
172	283	1354
173	284	1348
174	284	1343
175	285	1337
176	286	1333
177	287	1327
178	288	1322
179	289	1319
180	290	1314
181	291	1308
182	291	1303
183	292	1298
184	293	1293
185	294	1289
186	295	1284
187	296	1279
188	297	1274
189	297	1269
190	298	1265
191	299	1260
